accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.126,1.4,6.8,8.1
0.23,0.5,7.3,7.8
0.242,0.8,6.2,7.5
0.348,-0.5,5.0,7.1
0.463,0.3,3.7,7.4
0.533,1.7,3.3,9.1
0.726,1.9,1.8,9.2
0.826,2.9,-1.8,8.7
0.926,3.5,-2.9,10.6
1.026,3.9,-4.4,10.4
1.126,3.1,-6.2,8.5
1.226,1.9,-4.7,8.6
1.327,2.3,-2.6,9.7
1.442,4.2,-1.9,11.5
1.526,2.7,-4.8,8.4
1.626,2.7,-6.3,8.7
1.726,5.7,-4.8,5.1
1.826,7.0,-3.1,6.4
1.926,5.8,-2.8,4.4
2.026,3.3,-1.3,3.5
2.127,-2.5,-2.6,0.3
2.23,-0.7,-8.0,-0.1
2.326,-1.0,-17.5,26.8
2.439,3.7,-5.2,10.4
2.532,0.9,-9.3,-1.4
2.627,-5.6,-4.2,-8.7
2.727,1.9,-3.2,-14.3
2.827,-13.8,11.1,39.2
2.929,-6.8,10.7,6.3
3.027,11.0,6.3,1.6
3.126,3.5,-11.0,-4.8
3.229,7.5,-0.7,3.1
3.327,5.8,4.4,-1.3
3.427,8.5,7.6,-0.4
3.532,3.3,11.9,3.1
3.627,3.2,-4.5,6.4
3.732,4.5,2.9,13.7
3.827,2.8,8.1,9.3
3.926,6.0,1.6,6.3
4.03,5.5,2.3,9.0
4.129,5.2,5.1,10.4
4.239,4.2,5.5,5.4
4.328,3.2,6.3,3.6
4.428,6.3,7.2,6.3
4.529,5.1,5.7,6.6
4.651,2.9,4.3,9.0
4.731,4.1,11.8,5.3
4.828,4.9,9.2,1.2
4.929,4.0,9.8,1.2
5.028,4.1,8.3,0.2
5.176,5.1,8.4,-0.2
5.242,5.8,7.9,0.4
5.328,4.9,7.9,1.5
5.436,2.7,10.2,2.5
5.51,-0.6,10.3,2.6
5.631,-0.5,9.4,1.3
5.736,0.4,9.7,0.3
5.83,-0.1,9.2,-0.6
5.936,-0.1,9.5,-0.8
6.03,0.6,9.1,-0.9
6.143,0.2,10.4,-0.7
6.229,0.1,9.8,-0.9
6.329,0.7,9.3,-1.1
6.411,0.9,9.3,-1.4
6.54,0.4,9.6,-1.4
6.632,0.6,9.5,-1.5
6.734,0.7,9.6,-1.3
6.829,0.7,9.5,-1.2
6.948,0.6,9.4,-1.2
7.035,0.4,9.7,-1.2
7.131,0.5,9.7,-1.5
7.213,0.6,9.7,-1.4
