orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.0,-0.9,-0.1,0.0,-0.4
0.007,-0.9,-0.1,0.0,-0.4
0.01,-0.9,-0.1,0.0,-0.4
0.012,-0.9,-0.1,0.0,-0.4
0.103,-0.9,-0.1,0.0,-0.4
0.107,-0.9,-0.1,0.0,-0.4
0.109,-0.9,-0.1,0.0,-0.4
0.116,-0.9,-0.1,0.0,-0.4
0.119,-0.9,-0.1,0.0,-0.4
0.202,-0.9,-0.1,0.0,-0.4
0.205,-0.9,-0.1,0.0,-0.4
0.207,-0.9,-0.1,0.0,-0.4
0.214,-0.9,-0.1,0.0,-0.4
0.216,-0.9,-0.1,0.0,-0.4
0.336,-0.9,-0.1,0.0,-0.4
0.338,-0.9,-0.1,0.0,-0.4
0.349,-0.9,-0.1,0.0,-0.4
0.359,-0.9,-0.1,0.0,-0.4
0.362,-0.9,-0.1,0.0,-0.4
0.403,-0.9,-0.1,0.0,-0.4
0.406,-0.9,-0.0,0.0,-0.4
0.412,-0.9,0.0,0.1,-0.4
0.414,-0.9,0.1,0.1,-0.4
0.42,-0.9,0.1,0.1,-0.4
0.502,-0.9,0.1,0.1,-0.4
0.504,-0.9,0.1,0.1,-0.4
0.507,-0.9,0.1,0.1,-0.4
0.513,-0.9,0.1,0.1,-0.4
0.516,-0.9,0.1,0.1,-0.4
0.598,-0.9,0.1,0.1,-0.4
0.601,-0.9,0.1,0.1,-0.4
0.609,-0.9,0.1,0.1,-0.4
0.619,-0.9,0.1,0.1,-0.4
0.622,-0.9,0.1,0.1,-0.4
0.731,-0.9,0.1,0.1,-0.4
0.733,-0.9,0.1,0.1,-0.4
0.736,-0.9,0.1,0.1,-0.4
0.742,-0.9,0.1,0.1,-0.4
0.745,-0.9,0.1,0.1,-0.4
0.802,-0.9,0.1,0.1,-0.4
0.824,-0.9,0.1,0.1,-0.4
0.827,-0.9,0.1,0.1,-0.4
0.829,-0.9,0.1,0.1,-0.5
0.832,-0.9,0.1,0.1,-0.5
0.903,-0.9,0.1,0.1,-0.5
0.906,-0.9,0.1,0.1,-0.5
0.908,-0.9,0.1,0.1,-0.5
0.911,-0.9,0.2,0.1,-0.4
0.92,-0.9,0.2,0.1,-0.4
1.006,-0.8,0.3,0.2,-0.4
1.009,-0.8,0.3,0.2,-0.4
1.015,-0.8,0.3,0.2,-0.4
1.018,-0.8,0.3,0.3,-0.4
1.02,-0.9,0.2,0.3,-0.4
1.128,-0.9,0.2,0.3,-0.3
1.13,-0.9,0.2,0.4,-0.3
1.133,-0.9,0.1,0.4,-0.2
1.141,-0.9,0.1,0.4,-0.2
1.143,-0.9,0.1,0.5,-0.2
1.207,-0.9,0.1,0.5,-0.2
1.21,-0.9,0.0,0.5,-0.1
1.212,-0.9,0.0,0.5,-0.1
1.215,-0.9,0.0,0.5,-0.1
1.222,-0.9,0.0,0.5,-0.1
1.305,-0.9,0.1,0.5,-0.1
1.307,-0.9,0.1,0.5,-0.1
1.31,-0.9,0.1,0.5,-0.1
1.312,-0.9,0.1,0.5,-0.1
1.314,-0.9,0.2,0.5,-0.2
1.408,-0.8,0.2,0.5,-0.2
1.415,-0.8,0.3,0.4,-0.3
1.418,-0.8,0.3,0.4,-0.3
1.42,-0.7,0.4,0.3,-0.4
1.427,-0.7,0.4,0.3,-0.5
1.521,-0.7,0.5,0.3,-0.5
1.523,-0.7,0.4,0.3,-0.5
1.533,-0.8,0.2,0.2,-0.5
1.536,-0.8,0.3,0.3,-0.5
1.538,-0.8,0.3,0.3,-0.4
1.606,-0.8,0.3,0.3,-0.4
1.615,-0.8,0.2,0.3,-0.4
1.617,-0.9,0.1,0.3,-0.4
1.626,-0.9,0.1,0.3,-0.4
1.629,-0.9,0.0,0.2,-0.4
1.708,-0.9,0.0,0.2,-0.4
1.71,-0.9,0.0,0.2,-0.4
1.713,-0.9,0.0,0.2,-0.4
1.715,-0.9,0.0,0.1,-0.4
1.832,-0.9,0.0,0.1,-0.4
1.834,-0.9,0.0,0.1,-0.4
1.837,-0.9,-0.0,0.1,-0.4
1.843,-0.9,-0.0,0.0,-0.4
1.845,-0.9,-0.0,0.0,-0.4
1.922,-0.9,-0.0,0.0,-0.4
1.924,-0.9,-0.0,0.0,-0.4
1.927,-0.9,-0.0,-0.0,-0.4
1.937,-0.9,0.0,0.0,-0.4
1.939,-0.9,0.0,0.0,-0.4
2.008,-0.9,-0.0,0.0,-0.4
2.011,-0.9,-0.0,0.0,-0.4
2.013,-0.9,-0.0,0.0,-0.4
2.016,-0.9,-0.0,0.0,-0.4
2.018,-0.9,0.0,0.0,-0.4
2.107,-0.9,0.0,0.0,-0.4
2.11,-0.9,0.0,0.0,-0.4
2.116,-0.9,0.0,0.0,-0.4
2.119,-0.9,0.0,0.0,-0.4
2.121,-0.9,0.0,0.0,-0.4
