accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.113,1.6,1.7,9.5
0.401,1.7,2.0,9.4
0.601,-0.5,2.0,8.4
0.804,-2.2,0.4,10.5
1.001,-2.0,0.1,9.2
1.201,-3.3,-1.4,9.8
1.402,-1.2,-0.0,6.6
1.601,-24.0,0.0,-2.1
1.823,-8.3,0.1,-2.2
2.002,-7.0,-3.3,1.8
2.203,-14.8,-2.3,0.6
2.406,-11.6,0.9,-1.4
2.607,-7.6,-1.2,-0.1
2.812,-12.2,-0.9,2.8
3.001,-12.2,-1.7,0.0
3.175,-9.8,-2.4,0.2
3.38,-9.5,-2.7,0.7
3.586,-15.4,1.8,-2.5
3.807,-7.0,-0.9,0.2
4.004,-10.4,2.2,1.7
4.211,-13.7,-1.2,-1.7
4.403,-9.5,-1.3,2.0
4.619,-10.9,-2.5,0.6
4.805,-18.9,3.0,-3.7
5.01,-5.6,-0.5,-1.3
5.204,-9.8,0.8,2.6
5.405,-11.9,-0.3,-0.5
5.613,-5.2,-2.8,-5.5
5.825,-2.8,5.2,0.9
5.981,-4.7,-6.8,-12.8
6.211,-22.1,-4.8,17.7
6.409,3.7,1.7,7.8
6.605,6.0,2.2,10.1
6.806,-2.0,-3.1,9.0
7.009,-0.3,0.1,11.1
7.188,-1.0,-0.8,9.6
7.392,-0.1,-0.0,9.5
7.675,-0.3,0.9,10.1
7.888,-0.3,0.4,9.8
8.093,-0.1,0.4,9.8
8.307,-0.1,0.5,9.7
8.424,-0.4,0.6,9.7
8.7,-0.4,0.7,10.0
8.899,-0.6,0.0,9.8
9.099,-0.2,1.1,9.9
9.302,-0.2,0.4,10.5
9.499,-0.7,-1.7,11.9
9.699,4.1,-0.4,8.0
9.9,11.5,1.7,2.1
10.073,4.1,6.0,-1.8
10.328,2.0,4.9,-7.3
10.507,1.5,5.8,-8.6
10.7,1.0,7.4,-8.2
10.93,4.0,5.3,-7.4
11.097,3.8,5.1,-8.0
11.28,4.1,5.6,-6.7
